"id","type","level","title","description","speakers","venue","dayTime","services","tags","url"
"DVT311","Chalk talk","300","Apply Amazon’s DevOps culture to your team","In this chalk talk, learn how Amazon helps its developers rapidly release and iterate software while maintaining industry-leading standards on security, reliability, and performance. Learn about the culture of two-pizza teams and how to maintain a culture of DevOps in a large enterprise. Also, discover how to help build such a culture at your own organization.","Kamiel Wanrooij; Leo Zhadanovsky","Mandalay Bay","Monday 11:30 - 12:30","AWS CodeBuild; AWS CodePipeline","DevSecOps; DevOps; Developer Tools; Developer / Engineer; DevOps Engineer; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399785975001KyeJ"
"DVT324-R","Builders' session","300","Automate your code transformations at scale [REPEAT]","This hands-on session will enable you to automate a wide range of code maintenance and evolution tasks. Attendees will learn real-world use cases demonstrating significant time and cost savings compared to manual approaches. Whether you're looking to streamline API upgrades, migrate frameworks, or enforce coding standards, this session will provide a glimpse into the future of scalable, automated code transformations.","Nishant Agarwal; Humberto Cornia; Priyatam Mudivarti; Gokul Sarangaraju; Purvin Vakharwala","MGM","Monday 16:00 - 17:00","","Innovation & Transformation; Agentic AI; DevOps; Developer Tools; Migration & Modernization; Developer / Engineer; IT Professional / Technical Manager; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399787525001KFHx"
"DVT324-R1","Builders' session","300","Automate your code transformations at scale [REPEAT]","This hands-on session will enable you to automate a wide range of code maintenance and evolution tasks. Attendees will learn real-world use cases demonstrating significant time and cost savings compared to manual approaches. Whether you're looking to streamline API upgrades, migrate frameworks, or enforce coding standards, this session will provide a glimpse into the future of scalable, automated code transformations.","Nishant Agarwal; Humberto Cornia; Priyatam Mudivarti; Gokul Sarangaraju; Purvin Vakharwala","MGM","Tuesday 14:30 - 15:30","","Innovation & Transformation; Agentic AI; DevOps; Developer Tools; Migration & Modernization; Developer / Engineer; IT Professional / Technical Manager; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399787697001KkDc"
"DVT302-R","Builders' session","300","Automate your software tasks with agent hooks [REPEAT]","As projects grow, documentation, testing, refactoring for readability, and application performance becomes more critical. In this session learn how you can delegate many of these tasks using Kiro’s agent hooks, which trigger automatically and work in the background, so you can ship quality code every time.","Catherine Ko; Janardhan Molumuri; Dinesh Prabakaran; Ricardo Tasso; Rachel Yen","Mandalay Bay","Monday 10:30 - 11:30","","Agentic AI; DevOps; Artificial Intelligence; Developer Tools; Developer / Engineer; DevOps Engineer; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399787331001K20J"
"DVT302-R1","Builders' session","300","Automate your software tasks with agent hooks [REPEAT]","As projects grow, documentation, testing, refactoring for readability, and application performance becomes more critical. In this session learn how you can delegate many of these tasks using Kiro’s agent hooks, which trigger automatically and work in the background, so you can ship quality code every time.","Catherine Ko; Janardhan Molumuri; Dinesh Prabakaran; Ricardo Tasso; Rachel Yen","Mandalay Bay","Thursday 11:00 - 12:00","","Agentic AI; DevOps; Artificial Intelligence; Developer Tools; Developer / Engineer; DevOps Engineer; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399787573001KfNu"
"DVT203","Breakout session","200","AWS infrastructure as code: A year in review","AWS provides services that enable the creation, deployment and maintenance of application infrastructure in a programmatic, descriptive, and declarative way. These services provide rigor, clarity, and reliability to application development. Join this session to learn about the new features and improvements for AWS infrastructure as code with AWS CloudFormation and AWS Cloud Development Kit (AWS CDK) and discover how they can benefit your team.","Aakash Deshpande; James Hood; Praneeta Prakash","MGM","Monday 10:30 - 11:30","AWS CloudFormation","DevOps; Developer Tools; Developer / Engineer; DevOps Engineer; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399785167001KgUd"
"AIM303-R","Workshop","300","Build trustworthy AI applications with Amazon Bedrock Guardrails [REPEAT]","Discover how Automated Reasoning checks in Amazon Bedrock Guardrails enhance the trustworthiness of AI applications. In this workshop, we will showcase the synergy between automated reasoning and generative AI to create highly reliable systems, delivering up to 99% verification accuracy. Through hands-on exercises, learn to use the Automated Reasoning checks console and APIs to create and refine policies, then use them to validate your AI application outputs. Dive into a customer support assistant use case that combines various Amazon Bedrock features, including Knowledge Bases, Flows, and Guardrails, to deliver robust and trustworthy solutions.","Nafi Diallo; Bharathi Srinivasan","Wynn","Wednesday 16:00 - 18:00","Amazon Bedrock","Generative AI; Machine Learning; Artificial Intelligence; Business Applications; Business Executive; Developer / Engineer; IT Professional / Technical Manager; Financial Services; Software & Internet; Developer Community; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399775318001Kk32"
"AIM303-R1","Workshop","300","Build trustworthy AI applications with Amazon Bedrock Guardrails [REPEAT]","Discover how Automated Reasoning checks in Amazon Bedrock Guardrails enhance the trustworthiness of AI applications. In this workshop, we will showcase the synergy between automated reasoning and generative AI to create highly reliable systems, delivering up to 99% verification accuracy. Through hands-on exercises, learn to use the Automated Reasoning checks console and APIs to create and refine policies, then use them to validate your AI application outputs. Dive into a customer support assistant use case that combines various Amazon Bedrock features, including Knowledge Bases, Flows, and Guardrails, to deliver robust and trustworthy solutions.","Nafi Diallo; Bharathi Srinivasan","Caesars Forum","Friday 08:00 - 10:00","Amazon Bedrock","Generative AI; Machine Learning; Artificial Intelligence; Business Applications; Business Executive; Developer / Engineer; IT Professional / Technical Manager; Financial Services; Software & Internet; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1757635142185001fSnz"
"ARC201-R","Workshop","200","Building generative AI-powered full-stack applications [REPEAT]","Accelerate full-stack development from months to days while maintaining enterprise-grade quality. Learn to leverage AWS Amplify Gen 2's code-first approach for streamlining complex multi-component development. Build a generative AI-powered digital training platform integrating Cloudscape design components and Amazon Bedrock capabilities. Create dynamic content generation systems and AI-powered chat assistants that enhance user experience. Discover how Amazon Q Developer provides intelligent assistance throughout the development lifecycle, from architecture design to deployment.","Rick (Chang Joon) Kim; Yongzhe Ren","Venetian","Tuesday 12:00 - 14:00","Amazon Bedrock; AWS Amplify; Amazon Q Developer","Front-End Web & Mobile; Generative AI; Architecture; Developer / Engineer; Solution / Systems Architect; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753381052725001lEB4"
"ARC201-R1","Workshop","200","Building generative AI-powered full-stack applications [REPEAT]","Accelerate full-stack development from months to days while maintaining enterprise-grade quality. Learn to leverage AWS Amplify Gen 2's code-first approach for streamlining complex multi-component development. Build a generative AI-powered digital training platform integrating Cloudscape design components and Amazon Bedrock capabilities. Create dynamic content generation systems and AI-powered chat assistants that enhance user experience. Discover how Amazon Q Developer provides intelligent assistance throughout the development lifecycle, from architecture design to deployment.","Rick (Chang Joon) Kim; Yongzhe Ren","Venetian","Thursday 15:00 - 17:00","Amazon Bedrock; AWS Amplify; Amazon Q Developer","Front-End Web & Mobile; Generative AI; Architecture; Developer / Engineer; Solution / Systems Architect; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1757635141569001f0R7"
"DVT202","Breakout session","200","Continuous integration and continuous delivery (CI/CD) for AWS","AWS provides one place where you can plan work, collaborate on code, and build, test, and deploy applications with continuous integration and continuous delivery (CI/CD) tools. In this session, learn about creating complete CI/CD pipelines using infrastructure as code on AWS.","Mihai Balaci; Steve Rice","Mandalay Bay","Monday 10:00 - 11:00","AWS CodeBuild; AWS CodePipeline","DevSecOps; DevOps; Developer Tools; Developer / Engineer; DevOps Engineer; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399785118001KiMy"
"DVT309","Workshop","300","Create secure, production-ready code with Amazon Q Developer","In this workshop session, gain hands-on experience using Amazon Q Developer to create secure, production-ready code. Use agentic coding experience to automate unit tests, optimize code, and scan for vulnerabilities, and discover how Amazon Q Developer suggests remediations that help fix your code instantaneously. You must bring your laptop to participate.","Robert Bradley; Simon Rawlings","Mandalay Bay","Thursday 15:30 - 17:30","Amazon Q Developer","Agentic AI; DevOps; Artificial Intelligence; Developer Tools; Developer / Engineer; DevOps Engineer; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399787043001KMCc"
"DVT305","Workshop","300","Develop AWS CDK resources to deploy your applications on AWS","In this workshop, learn how to build and deploy applications using infrastructure as code with AWS Cloud Development Kit (AWS CDK). Create resources using AWS CDK, and learn maintenance and operations tips. In addition, get an introduction to building your own constructs. You must bring your laptop to participate.","Jonathan Cardoso; Om Prakash Jha","Mandalay Bay","Monday 12:30 - 14:30","AWS Cloud Development Kit (AWS CDK)","DevOps; Developer Tools; Developer / Engineer; DevOps Engineer; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399786837001K5GO"
"DVT303-R","Builders' session","300","Empower development teams with AI-driven automation [REPEAT]","In this hands-on session, attendees will explore how AI can transform a software development team’s work. Attendees will learn how AI agents integrate seamlessly with existing tools and workflows, leveraging deep contextual understanding to tackle challenges like technical debt, performance optimization, and operational campaigns. We'll cover the key features that enable transparent collaboration, continuous learning, and adaptive automation. Attendees will leave with an understanding of how AI-driven development tools can revolutionize the software delivery lifecycle. Whether you're a developer, engineering manager, or technology leader, this session will show you the future of autonomous software development.","Ram Prasad Modalavalasa; Aurelien Plancque; Artur Rodrigues; Kyle Seaman; Pablo Silva","MGM","Wednesday 14:30 - 15:30","Amazon Q Developer","Agentic AI; DevOps; Artificial Intelligence; Databases; Developer / Engineer; DevOps Engineer; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399787424001K2lq"
"DVT303-R1","Builders' session","300","Empower development teams with AI-driven automation [REPEAT]","In this hands-on session, attendees will explore how AI can transform a software development team’s work. Attendees will learn how AI agents integrate seamlessly with existing tools and workflows, leveraging deep contextual understanding to tackle challenges like technical debt, performance optimization, and operational campaigns. We'll cover the key features that enable transparent collaboration, continuous learning, and adaptive automation. Attendees will leave with an understanding of how AI-driven development tools can revolutionize the software delivery lifecycle. Whether you're a developer, engineering manager, or technology leader, this session will show you the future of autonomous software development.","Ram Prasad Modalavalasa; Aurelien Plancque; Artur Rodrigues; Kyle Seaman; Pablo Silva","MGM","Thursday 13:00 - 14:00","Amazon Q Developer","Agentic AI; DevOps; Artificial Intelligence; Databases; Developer / Engineer; DevOps Engineer; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399787473001KrIE"
